text,label
"Oneday, I was hanging out with my femael friend, They",0
Today I was at my boyfriend.,0
But I tried keep my concentration.,0
"I really like the Piano, rather I love.",0
"Competition and growth may lead to a more rich society,",1
"Probably, when you write in English the attention is bigger...",1
I think there are two problems that you feel strange about.,1
I want to have the courage to speak English more in my life.,1
 Stick in Chinese means someone without a boyfriend or girlfriend.,1
That meant it was the coldest day I’ve ever had.,1
I had happy time.,0
"And when I woke up, I often astonished for my brains, which could make so special scenes.",0
Can you help me to improve my ability to write in the Russian language?,1
"Also, to get a high score in TOEIC is an important thing for me.",1
I'm dedicating free time for productive activity.,0
I hate those kinds of dog days.,1
But I haven't finished anyone yet.,1
My sister's family picked me and my parents then went to Korean BBQ restautrant.,0
"Well, I think it was a bit inconvenient to me if I bought a honey glider.",0
I would like to enjoy holiday by tomorrow.,0
That means I at least get up at 5 am.,1
"Besides, my boss admires me and I bought a notebook myself.",1
"For example, a lot of Japanese girls tie their hair looks like nets recently.",0
The room arangement in a house are completely same.,0
"yeah, what ever. i m not like you...",1
Please look at chairs carefully to know what he did our things.,0
Most characteristic one was the square one.,0
Use rice to make a doek and combine with,1
"Then I complained the front basket was loose, as one of a screws was gone.",0
There are a little bit differences between the Korean and Japanese one.,1
"To be honest, I think I came here in the wrong season.",1
This is my second blog.,1
"I have not read it yet. According to the review, the book represents the never- feral child.",1
It's going to be finale at April two thousand twelve.,0
She is such a very caring person that gave me many things so far.,0
My car has had the problem since last year.,1
because the shutter speed is very slow.,1
I imagine the map will be slightly changed after I get the licence.,1
"In Japan, there are consecutive holidays beginning in May, called the"" Golden Week"".",1
He just likes never to be full.,1
"G：Oh no, how stupid I am！",0
"If this was to become the past, it would be their end too.",1
"It was too much for me, and was very delicious.",0
I hope that the Yankees get the world series championship this year.,1
Her head was pounding.,1
They always think of a fit for the product and determine the suitability of the content.,1
"I now have a bathing suit, washing, bathing. I will go to bed soon.",1
Hello everybody! How's it going on today?,1
"After eating dinner, I played online- game.",0
"I said it, and subsequently tried to deal with the confusions in my mind.",1
"It was so hard to work, but, fortunately, my temperature fell evening.",0
I'm looking forward to meet them.,0
But I scare,0
"Copying CDs is definitely easy, and sharing them is easy as well since there is the Internet.",1
"i'm a Korean girl(south) who is very intersted in English, French",0
"I also like English literature, which I majored in at college.",1
I practise in the elementary school's gym near my house.,1
"B:"" Hmm, I don't look so young.( or I don't feel so young).",1
"Since I didn't hear anything, I told her so.",1
Many relatives and neighbors came to my house.,1
Skype: iamkevin 77,1
Use the explored expression during next lesson.,1
Writing a diary in English is my first time today.,1
It's very surprise to me.,0
"( For example, somebody pick your belonging up, so you say to him or her)",0
It's a normal thing happens on the web.,0
The density of railway lines is 6.21 km/100 km.,1
I think it is so sweet that it makes me smile.,1
She first stayed at my home.,1
I haven't written a diary for a long time.,1
"Taiwan does not belong to China. We are a"" republic independent"" country lol.",1
"First, please let me tell you about my personal experience during the preparation for the speech.",1
"Without you, I could n’t be what I am today.",1
I'll keep doing what I'm doing now.,1
The only thing I feel pity is that I hardly learn English for about one month.,0
I was bewilderd because I thought it might me a trap or something.,0
They're worried about the Japanese future.,1
And do you have any good advice to live in another countries?,0
I have worried about this event since last week.,0
The worst subject is English in the score...,1
I have to get adequate way of studying due to describe what I think in English.,0
And I went to Mister Donuts( donut shop) with my friend.,1
This seems good way to deal with the illegal immigrants problem in the US.,0
I saw her through the security glass at Louvre.,1
To be independent from the Japanese.,1
The doctor and so my mum helped me.,0
"In day time, there's nothing extraordinary.",0
"Also, the older sister is a little lady and so cute.",1
This is a pen which I was presented with from her.,1
I'm going to entry' Short short movie festival 7th',0
He acts really well.,0
I live in a school dormitory.,1
"Today, it was 34° C at noon.",1
I'm relaxing with a perfume now.,1
so I have to take a escalator up twice and down once.,0
it's peninsula country like Italy.,0
"Of course, everyday is the new day, and there's no day that is completely same as others.",0
She retired job and she is going to get back to her hometown next week.,0
but his coworkers who used to play soccer tempted him footsal.,0
"I had a lot of fun, because I could ride the ambulance together.",0
I could never be a manager without good knowledge of other languages.,1
"About his most paintings are kinds of oil painting, lithoprint and so on.",0
"However, if I have to pick one, I wanna say about my experience in Taiwan.",0
Performers are Lea Michele and Idina Menzel.,0
"A few minutes later, someone took me strange classroom.",0
Are you sure that you come with delicious wine?,0
They were fantastic views.,1
"By the way, I wonder how foreigners feel about Japanese.",0
"However, spin in electron or atomic nucleus is totally different from that in top.",0
I will be able to finish my first literature in this month.,0
"I can not imagine how to remember that different in words due to the tons, but I'll try.",0
"On the way to the police station, I noticed it.",1
When at low tide we go to the sea.,0
Another reason which makes me difficult to get a job is that I ca n’t work overtime.,0
That's why after going back to Korea I am going to take a Tofel exam.,1
She has lived a longer life compared with a hamster's average life span.,1
So I tried a bob cut.,1
I would've watched it just under the fireworks.,0
This is the first time to spend my birthday in a foreign country!!!!!,0
Below is some positive sentence I like:,0
"Do you call that the"" street mob""?",1
"During work time, my trainer asked me for her favor.",1
I wanna understand word because I need it to speak.,0
"If you can be happy in study, you will learn fast.",0
"That festival is lagest scale event in my town, started at 1980.",0
"They say"" You read too much girls comic.",0
Sometimes the rain is really very heavy and you can see they still do not use umbrellas.,1
"My friend and I are correct, so you do not have to correct us.",1
I couldn't decide the menu of the dinner I would cook.,1
Keep Heathy,0
He showing early signs of dementia(Alzhimer's)and had hepatocirrhosis.,0
"As you know, I recently had confidence to talk to foreigners.",1
I paid homage to a shrine on New Year's Day and I bought a lot of clothes at a sale.,1
( Actually he was at non- reservation train...,0
an indissoluble bond which can't express by words....,0
Her words made me so shamed that I even wanted a hole to jump in!,0
I want to have a rapid- reading ability.,1
"At this day and age, the military race still exists among the major powers.",0
"Thanks to this concert, we feel near ourselves classic concert.",0
"but, the Maldives have no season of diving from May to July.",1
"In the book, they find a boat and paddles. They take a boat but they couldn't row it.",1
"I have been learing, Englishi is very difficult.",0
I am sorry that I did not remind him of my leaving time yesterday which I told him 3 days before.,1
I am going to go Koube between tomorrow to 26th or 27th Sep.,0
The adults who decided to go to university because of the interest in subject account for 40%.,0
"Nowadays, people would like to discuss the relationship between money and love.",1
It was enjoyable night!,0
I'm not asking to give me a smart brain.,0
I didn't write anything in my diary since last October...,0
I would like to listen to operas loudly.,1
So now I will write English diary.,0
1- Do you know the crisis of Japanese animation?,0
This movie is the last CM before it restrict.,0
We never had a chance to talk with foreigners.,1
"And I'm looking forward to listening to his English, especially his American accent.",1
I do not know nothing of the meaning of the lyrics I love Western music!,0
"Generally, freshman employee has a entrance ceremony for a company on April in Japan.",0
"In my case, I won“ iPod shuffle”.",0
There are 382 words.,1
"Come to think of it, I really wonder this fact even now.",0
Anyway i have nt spoken english since i came back to Japan!,0
"I really don't wanna see the results, since I know they're unfinished rubbish.",1
"This morning, I found out about that in the post office.",1
He was a good leader for the company.,1
Now I regret that I did not make more memories.,1
"So if there are no port, we can not use ships to export something.",0
Let's imagine how much free time they could have unless a lot of homework!,0
"I have never been abroad, but I’ve travelled in our country so many times.",1
He knew his parents wanted to protect him.,1
"Now I check weather news on Internet, They say it will snow tomorrow.",0
( this pizza's price is third of franchise pizza's),0
He likes squid very much and often fishes for it.,1
Cracking TOEFL Test Writing 01,0
Of course KC's songs have good both melody and lyrics.,1
But I don't like studying!,1
They seem nice people and very interesting.,0
Japanese not make difference between s sound and sh sound,0
So please exxcuse my poor English and enjoy presentation.,0
In aquatic ecosystem organisms have complex relationships each other.,0
I play the clarinet in an amateur wind orchestra on weekends.,1
You should tweet when you can't decide on a menu.,1
I wonder if someone would read this.,1
"I could n’t recognition what I saw but my mother stared it then said,",0
The lyrics is changed; it's now more liberal and has less political message.,0
"First of all, an identification card can be theft.",0
"When I ask a question of the origin of the idiom"" cold turkey"",",0
I usually use the PC for a long time every day.,1
I intend to play this for about 1 hour.,1
( I am happy to you could help with my English composition.,1
I was happy too because he was pleased.,1
There is no way to find the real rank of my country in the commercialized World Cup.,1
"I had driven for a long time, so it seemed to be mine.",0
"Next, I made sure my schedule and set up my calendar.",0
I'm also excited helping people learn Japanese.,0
Maybe because we are overfilled now by these Matrix- like ideas in movies.,1
In fact I am not busy enough to read a book. It's like defending myself.,1
It's first sunny day in a while.,0
"The more he gets hurt, the more he gets the power of wrath!",1
I'm really afraid of that.,1
"They are housewife, piano teacher, engineer, student etc.",0
I couldn't write a diary for a long time.,1
I am really looking forward to it.,1
I talked my friend who was fluent in English about that.,0
It looks like a short play or a sort of ritual.,1
"For example, why the global warming causes the freezing the earth?",0
I was at my boyfriend this weekend.,0
I am looking forward to finding someone who can correct my English!,1
That is beauty of cooking I think.,0
I'm geting better my back than yesterday.,0
The kitty kicks your kid and hurts the kid's kidney.,1
I felt the place had not any festival flavors.,1
He has a good sense of humor in ways he talks.,0
"Sometimes, I have opportunities using English for my job.",0
I watched this drama with English subtitles.,1
They experiment in that diet.,0
I can't hit a good phrase in a new song.,1
I will take a practice exam of center exam.,0
"This time I succeeded in killing it, but I left Imagine unfinished.",1
You can listen to it here:,1
I went to the movie theater yesterday.,1
One is a thickness of my cornea.,0
But I feel good running in the rain.,1
I went to the Atomic Bomb Museum and then I was in a walk in the city.,0
"But everyone says it is n’t safe, so nobody knows the future!!",1
Favourite band--------- Extreme/ MR.,1
I took an English speaking test!,1
"I'd like to study cross- cultural communication in the UK,",1
The first edition of the one is from 1968.,1
I felt Lucie's feminish sence on her works.,0
"So, I'm really looking forward to it.",1
I cook something while I listen to English by using a music player.,1
"what is the difference with just using"" memorized"" or"" has memorized""?",0
I spent the whole day+ ving,0
"This is a love story, plot is very formal as usual,",0
just an uneducated person.,1
She's a pretty boy.,1
My father would n’t go because my mom is afraid of heights.,1
Give me more time.,1
"As the custom, if the boy didn't pay a visit the girl's",0
"Because of this, the first atomic bomb was dropped on the city of Hiroshima in the world.",1
Be a business woman!!,1
Both countries people is very diligent.,0
"Besides, I'll have a few drawing classes, so it's gon na be very very fun!",1
"I'm not sure I can continue to write a diary, but try to do it.",0
I want to work in a tax paid area.,1
What about saying this way?,0
August 16 th,1
I'm not come up with anything,0
Now I will tell something about it:,0
It seems like I could be a teacher.,1
"M"" Could we get discount eventually?""",0
This is the last time I play a sparkler.,1
Finally he coughed a cold.,1
I think the defference between them is side dish which go well with them.,0
"In Children's day, almost parents buy toys for children.",0
( 2)no thank you,0
It teaches students the correct way of thinking about marriage and life.,1
But she promised me that she keep on running.,0
Dream Land②( No.30),0
I returned to previous course.,0
"In the beginning, I don't know what the lecture is talking about.",0
say hello to relatives and clean grave.,0
Next week I will do it in the computer based exam.,1
The third thing is that Khabarovsk is not as safe as where I live.,1
I think that competition was big.,0
"OK, so I will try to describe the picture.",1
It's ballade song.,0
"A, so I really want to go to see them this year, maybe summer time, and I want to go to N.",0
finally I had to write English diary everyday.,0
Maybe sometimes I'm gon na struggle.,0
"She is my oldest friend and we went to the same elementary school, and the same junior high school.",1
My customers told me that I should have an English name.,1
"Until now, I have not recognized that I am younger than everyone on my friends list on Lang-8.",1
"Today, I had free time and finally go there.",0
I am not good translater so please check.,0
I got a pair of tickets from an acquaintance.,1
"So, when my friend asked me to explain about how- to do.",1
"Because I was able to never do it, I gave a lot of troubles.",0
Isn't this a great idea?,1
"Today, we talked about another issue, too.",1
"Since I learn English, there are a lot of problems worry me.",0
"Next time, I will go there in best season.",0
"Because I do n’t have lessons after lunch two days, and especially, I have no class on Saturday.",0
"One day, my girl friend's mother was walking around house。",0
The question is how to keep studying.,1
"We walked to places like Cairns Central, Night Market, Esplanade Lagoon, and so on.",1
"but, I can't write journal without online dictionary.",0
There is a Mexican boy who is living a hopeless life.,1
It is indeed very simple; here is the stuffing preparation.,1
"If the teacher finds out, they will give you some punishment.",1
"It's bother to prepare postcards, but I will be reluctant to finish it as usual.",0
Both shops were selling a lot of cute items.,1
I can't forget a story that happened yesterday.,1
"So ststute of limitations terminated, the criminal couldn't punish.",0
They learn english too but they can not use english in their professional.,0
I usually work in head office but sometimes go to branch office for technical supports.,0
"There is more than one university, more specialisation.",1
This film is very meaningful and it can guide us in handling our life.,1
I haven't been to either of the cities.,1
Today I got the results of the last test.,1
I am not sure that some Japanese construction companies may be a rip- off.,1
"Nowadays, when I have free time, I always miss the television.",1
● Online Video:( Chinese subtitle),1
There was lots of friends.,0
we believe that It is benefit to ourselves and the pandas.,0
"However,"" Baked chicken drumstick roll with rosemary and cheese"" I ordered was very delicious.",0
"Every Spring Festival, he uses all his technique, and cook many delicious food.",0
SO I have been a very busy day since then.,1
Only way to survive as a travel agency seems to be a web travel agency.,0
I want to learn to dance but I don't know how to do it.,1
She said“ Internet connection is bad”,0
The member of South Africa W- cup was released today.,0
that I will use the room with the Italian.,0
You are the one who is the most important thing for me,1
She is such a funny and good grandmother to me and I love her.,1
I was not long after graduating from elementary school,0
"Danny is cool, has a fabulous voice, but not my favourite.",1
"Besides, it can be played anytime, whenever we want to play it, without anyone interrupting us.",1
"■ First, It is BackPacker's hostel.",0
I hope you get a jop,0
Fast food.(Essey),0
How beneficial is using wikis in the classroom?( 4),1
Because the examination fee is 18900 Yen.,1
"i could tell her my opinions, and translate to japanese for my family or something.",0
"Today, I studied for TOEIC test.",0
"I will restart learn English, because I'm going to be moved global logistics department.",0
"On my way to the shopping centre, I casually saw it, and found Will Smith there.",1
That's why I've been looking forwared 2 joining this year.,0
I have returned from after- school lessons to supplement my school work now.,1
And hope some one can help my poor english and it will be my pleasure to help others chinese.,0
"Finally, put much of oil and salt into the pan.",0
LET' S GO!,1
"Some of parts were able to be off from the body, but others were not.",0
I am busy from Monday to Thursday.,1
"girlfriend, the other became hate me.",0
March 3rd is the day of Doll Festival for girls.,0
"Music, Poetry, Literature, every fine art stands for what the human is.",0
"bad start of"" Prince of Persia""",0
On such days I used to go out and play around all over my neighbor.,0
We may be able to have direct accesses to foreign middle cities due to 787.,0
I've been studying English for almost 8 years.,1
I'm glad to know you very well.,1
"It rarely painful, but...",0
However they didn't realize that these were almost same as the shame in a real sence.,0
"If so, how much do they know about it?",1
"I want to make friends from Internet, the more the better,",0
Some dogs are even as smart as a six- year- old dog.,1
I don't know how they can do it.,0
We said we want to come here in fall again.,0
"I saw musical"" grease"" yesterday in Boryeong.",0
"Terrace was crowded, so I had a meal indoors.",0
"After we played in a living room about 1 hour, we lay down for a nap.",0
Today was basically a good day.,1
I am so glad to have met all the members of class 6- 4!,1
He was involved in a terrible situation in a bar a long time ago.,1
And it will be delivered to the stricken area later with hope and prayer.,1
i want to tell U some interesting things about me but i don't know how to express it.,0
The original Dragon Ball was a Japanese comic book.,1
"When I am wearing them, they are just fitting me and protecting me from a chilly wind.",1
"I was a Mac user, and now I love Macs, Windows, and Linux machines.",1
The Beatles came into the world.,1
One child need to raise several people and they should work hard to earn a lot of money.,0
Why don't you take this chance!,1
I would appreciate it if any of you could tell me the meaning!,1
"Today, I played with my friends.",1
I told my running away story to him and asked a reason that he came this island.,0
"He told me that if I drink too much coffee, it would be not for my health.",0
Second time I notice it was when I worked in Tokyo.,0
My university's athletics competition lasts for 3 days.,1
It didn't matter to me that nobady said to me.,0
She will go to Taipei for five days to compete.,1
It was very hot day.,0
"However, the administrator noticed that there were just two students who applied class.",0
I’m going to spend 2 hours on the plane.,1
Time to time the bank lady come to our office to bring tissue paper boxes.,0
"However, now he is an architect.",1
"When I went to Thailand, our guide said"" Kobe is known to people all",0
"She couldn't meet her best friends so often because we had graduated, so she was very unhappy.",1
There were 5 kinds of tea inside and each one had 5 tea bags.,1
"It can be thought polite to say"" Would you mind giving me your money, please?"", but is it CORRECT?",1
Nowadays Renaissance: I've bought some pictures for my room via the Internet.,1
I was subject to depression so I couldn't study for a long time.,1
"It will be soccer game, Japan vs Netherland on Satruday.",0
"Recently, Japan has many many comedian.",0
We first ate lunch since I did n’t eat anything since I woke up.,0
plz correct it.. I'm posting it on the campus board..,1
"Recently, the banana diet has been popular among women in Japan.",1
March 29th,0
Probably I am feeling uneasy as we draw near the date of departure for London.,1
It is really bad to wait five or six hours before an exam.,1
Though I wouldn't try to do it.,1
We can use this in living room,0
"7 years ago, after taking this license, I went once every month.",1
I went to the music festival at high school yesterday.,1
"Yesterday, I wrote that I might have sprained my ankle in my diary.",1
"American, British, East course, West course, etc.",1
"However, end of this month, I have to take a medical examination.",0
I want to write diary everyday.,0
"As a result, our company has no Golden Week holidays even a day.",0
"These days, the weather is getting hot!!",1
The subject of the movie is sumo wrestling.,1
"This spring, I'll major in a master's course at this University.",1
So I kept staring at him until he mentioned that matter.,1
"Somehow, I remembered' Nightwish'.",1
So my father is an interesting man~,1
Because she never drink that type of beer before.,0
"After I got into elementary school in 1995, my mother gave consent to learn to play the piano.",1
I'm back from swimming pool now.,0
"next year, I will leave this company to look for a better.",0
and I ve been very tired of my work...,0
"Have you ever think of which comes first, coldness or snow?",0
I wanna improve my listening skills because I like to get to know about my friends.,1
but I hope this is a good chance for you to learn new things.,1
Then I accomplish a preparation of visiting Canada for a month from July 22th.,0
We weren`t sure we can get holiday or not until this week.,0
You can choose your favorite fresh food from the small basket.,1
I asked my friend to return e- mails because she didn't return e- mails sometimes.,1
We visited some spots and enjoyed.,0
"Honestly speaking, I don't know exactly, since I don't search them recently.",0
 As same as is always corrected on lang-8.,0
"This summer vacation, I'm planning to go to America to do an internship.",1
The fact that it is exciting English.,1
"One more thing, how do you distinguish movement and motion?",1
But these are what many people have.,1
Turn to the left go with a pain!,0
The situation is going to be worth...,1
Kickoff is at 11:00P.,0
"By the way, is Oosouji an international culture?",1
Japanese people's brain and other forigner's.,0
"Why is it"" loved"" and not"" loved""?",1
We walked there for about seven hours.,1
I made an image of antique brooch.,0
Are n’t you reading comic books or looking at websites?,1
And I talked a lot of friends and I had good time.,0
"Bibimbap is a mixed food, so a western person can not be familiar with it.",1
And It is a good experience for me.,0
"By the way, I started volunteer work, which teaching Elementary School Students.",0
"but, it is not lie because two certification examination in the near future.",0
"Hello, I am pig5656, student of graduated school.",0
We got some HW and we have to write an essay next class.,1
"But at least i got my friend, who believe in me and think i can do better.",0
"She just asks you,"" Do you have any questions?""",1
" I'm scared of heights."" You're a coward!""",1
The mother laughed.,1
I have been going to the hospital.,1
I cut the sideboards too much though.,1
I expect it will make me improve my English skills from now.,1
"I know I will be in a bad mood, but I will watch it anyway.",1
Entering the big global company is very competitive due to many applicants.,0
"And then, we headed for the casino.",1
Thanks folk,0
I could put 6 faces of Rubic- cube correctly yesterday for the first time!,0
i am studying English,0
I'm studying for an exam the next few days,0
And they dispute their artistry.,1
"The day before yesterday, the temperature of Kyoto recorded about 40 degrees.",0
Today is happy day.,0
"According to him, they bake the donuts, not fry.",0
Talk to me of your dark bedroom,0
I heard some foreign press has blown things about Japan out of proportion.,1
There weren't any customers.,1
I worry about disasters happening.,1
"Adding to that, I think the next important thing is habit, meaning doing everyday.",0
The height is 634 meter and it is highest in the world.,0
There was a monkey when I was staying at the guesthouse in Cambodia.,1
I want to make friends with a foreigner someday.,1
"After squid’s sashimi, owner asked us to make tempura or just grill the squid’s head.",0
this icon is about a mount(horse) of 2011 rabbit year in our developing game.,0
buy a mobile phone.,1
Yokozuna is best class in sumo.,0
I feel totally relax.,0
There is so many puns in Japan.,0
"I worked hard the whole day, working, driving a car.....",1
"In an English dictionary, the 12th wedding anniversary may be called the"" linen wedding"".",1
Another one is for me. Only my parents and my friends will call in.,1
All the movie is loaded with guts which explodes from body.,0
"In Japan, every day, the news informs us of the status of the nuclear power plant.",1
"I totally agree the word"" Adopting instead of purchasing""",0
I have been doing for about half a year.,0
I thought It's too late to wander my dreams.,0
"On the face of it, they don't believe in religion or God.",1
Then I told him that the next train takes him to his destination.,1
M everyday.,0
Why do they drink beer in the morning?,1
I thought that the worst thing is that nobody noticed about this simple idea at all.,0
It is really shameful.,0
Today is free day.,0
"a bit tired as i am, i pleased with him knowing more chemisty.",0
Today I went to a cafe.,1
"Kind of"" marine fashion"" is trend this summer!!",0
Why do I always like a married man?,1
"I didn't and don't believe in any religious, maybe I am sort of Atheism",0
"It is not textbook, It is pearson.",0
"Thus, spending money plays a very important role in the economy.",1
So here I am introducing myself for practice.,1
She went back to Japan during her vacation.,1
There're very crowded so I think maybe everybody like festival.,0
"one of contents is a prolonged sound about"" what am I ganna do with you""",0
Which one is the most popular in your country?,1
face book 2,1
＜The advantage of this plan＞,0
We discussed what he would do.,1
My friend called me to say that she wanted to go shopping with me to buy a Christmas present.,1
"That was so expencive, like￥24,000.",0
"At the event, some bands played in the concert that was divided in two parts.",1
"Currently, I'm searching for a way to read rapidly.",1
I have a book with a lot of usage examples.,1
I think such is the right imperfect aspect of E- learning which needs to overcome.,0
"I am a new worker for the current job, so I don't have any paid holiday yet.",1
"Today, a Korean scientist has successfully made a Soft Touch Screen using graphene.",1
"She said to my friend"" You take care of person covered with blood""or""You stand by dead man""",0
I want to go to Tokyo Disneyland.,1
"Be the result good or not, I will still keep learning in the future.",0
"I studied"" TOTALLY TRUE"" text book at today's English class.",0
This pudding was made by my mother.,1
very delicious(^U^),0
"She had been an abandoned kitten for a year at least, since I came across her in my car park.",1
"Of course, the effects depend on jobs.",1
( I copied it from shopping site below.,0
"Second, what is confusing is that almost all Japanese people do not believe in any special religion.",1
"Hi Friends, I just suddenly curious does the language in your country have"" tense""?",0
Inoue and I got same baby’s name.,0
anyway i will have to study that's why my strees.,0
"At this time, I have two plans in summer, so I have to research the plans more.",0
This leads to that increase in number of people travelling long distance.,0
I was playing not perfect but is not bad.,0
Both feelings were derived from my abject ego and sence of shame whitin arrogance.,0
And I want to make friends over the world!,0
I don't want to argue against both of them.,0
 James charged with 3 counts of manslaughter in sweat lodge deaths. ,0
Today was nothing spesial day.,0
Like the man who forgave us every time.,1
Before going to office I saw all 3 of their faces and having bad feeling about them.,0
"And If I can do so, someday, I hope that I live and study abroad.",0
"Even so, I must rent a new apartment with higher price.",0
They songs are great!!,0
I am a graduate student in computer science and want so much to go abroad.,1
I work part- time in a cafe every weekend.,1
"Whenever I take a taxi, I do n’t need to look for, walk to the car park, and drive a car.",1
I went on a picnic in company today.,1
I have been suffered from insomnia for couple of days.,0
My nephew is baby.,0
I am looking forward to the next final game.,1
I want to learn the operation of emacs.,1
It is difficult for me to continue excercise.,0
#NAME?,0
My body and stomach are still painful.,1
"Dotor told me"" Your son need to general anesthesia""",0
"And I must talk my English teacher, who is from America, for that excuse.",0
It emitted heavy smoke from the microwave.,1
"Finally I've just watched"" Lost"" season 6, the final story.",1
I really took advantage of bus every day.,0
"Recently, I met some my local friends who went to same high school with me.",0
There were three colors and the cost was about 3000 yen.,1
"If your behaviour changes, your custom changes.",0
Japanese people will never be disgusted by such expressions.,1
Today is a bad day!!,1
I wanna go around UK but I don't know which place is better.,0
"And then I needed to find a new job, so I'm going to interview.",1
"However, I haven't paid attention to this day at all until my wife let me know it.",0
Then I slept once more until noon.,1
"Today, I got a great fact from the Internet.",1
Hope is the ability to believe that all things will work out in our personal life!!!!!,1
