text,label,error_type
So I could not even log into my PC !,0,Future Simple Tense
Today I entered Lang - to study English .,1,None
"Unluckily , God found the angle broke heaven is law , which was that angles were not allowed to marry a man from earth , so the Queen Mother of the Western Heavens had to bring the angle back .",0,Subject-Verb Agreement
I love TVXQ .,1,None
It is a very eco - friendly product .,1,None
Health care,1,None
A big typhoon will come .,0,Future Continuous Tense
I think it would be safer for you to stay here .,0,Future Simple Tense
After many days .,1,None
"Thinking now , written things are important , not only reading .",0,Present Continuous Tense
Mother took heed of each of our worries and helped us overcome them .,0,Subject-Verb Agreement
bye bye,1,None
"I think one of the reason is that we arrived at theclub too early , pm .",0,Subject-Verb Agreement
I ate one third of it .,1,None
Stuff is going to come home tomorrow,0,Subject-Verb Agreement
"also i ve learned japanese for two years , but i ca nt remember much .",0,Present Perfect Tense
"As for Japanese comics , called manga , One peace is the most famous of them all in Japan .",0,Present Perfect Tense
Nutrition is the materials necessary to support life .,0,Subject-Verb Agreement
"She does not use any plastic stuff as a supporting part , everything on the cake can be ate !",0,Present Continuous Tense
What does everyone listen to some music ?,0,Subject-Verb Agreement
is the motel called Best American .,0,Subject-Verb Agreement
"I write my diary , I hope my English will improve more .",0,Future Continuous Tense
It rained all through the day so I did nt go outside .,0,Past Simple Tense
Yesterday I bought a new notebook PC on the Internet .,0,Past Simple Tense
I was busy and tired .,0,Past Simple Tense
"Good night , and have a nice dream .",1,None
I am Hanka .,1,None
There is no time to be hesitated .,0,Present Perfect Tense
This url below is about the article .,0,Subject-Verb Agreement
This is black soy bean .,1,None
We took it for granted .,0,Past Simple Tense
"The waitress told us you guys finished all , it , s good .",0,Subject-Verb Agreement
And I like mineral stones .,1,None
"It seems then , that we could choose our roommate or colleague .",0,Future Simple Tense
P S,1,None
So many people say that .,0,Subject-Verb Agreement
It will be really tough .,0,Future Continuous Tense
After coffee was a little bitter .,0,Subject-Verb Agreement
A short trip,1,None
I just saw a rat big like as a cow,0,Past Simple Tense
"On the way to the top , I was tired and I stopped running .",0,Past Simple Tense
So bored life .,1,None
"Often , a person who is late for minutes may skip pardoning at all .",0,Future Simple Tense
I like overseas travel .,1,None
"Today , I am taking the TOEIC .",0,Present Continuous Tense
Do not forget to charge the battery beforehand .,1,None
I get thirsty .,1,None
I always knew you would make it somewhere,0,Past Simple Tense
So I want them .,1,None
TIGER MASK is a hero is name of old cartoon .,0,Subject-Verb Agreement
"In my opinion , they often buy products in stores directly and they do not do bargain .",1,None
What do you want for your birthday present ?,1,None
"One day later , pork changed brown .",0,Subject-Verb Agreement
I decided to study Japanese at that time but I felt my Japanese ability was not better than English .,0,Past Simple Tense
Study English every day,1,None
I am always running towards the ball of the conversation .,0,Present Continuous Tense
"The creators of this movie must be big fans of sci - fi , ",0,Future Simple Tense
I am and a senior high school student .,1,None
but we do not want to spend so much money .,1,None
Good luck my friend .,1,None
I am just an amateur on politics but I think it is high time for us to change our political system .,1,None
"We went downstairs to see him immediately , and found a lot of blood on the floor in his room .",0,Past Simple Tense
How did you treat your tooth after coming out in your country ?,0,Past Simple Tense
"Becouse if you lazy in your job , do not you feel lack of pride ? ?",1,None
I bought a movie iphone app store today .,0,Past Simple Tense
"but I woke up , am .",0,Past Simple Tense
The ordinary general meeting shall be held within six months of the end of each financial year .,0,Future Continuous Tense
That is the low of salaryman .,1,None
This morning I got up at am .,0,Past Simple Tense
My stomach is not feeling so well right now from the two individual presentations in the afternoon .,0,Subject-Verb Agreement
,1,None
The Beatles ' songs are very easy English .,0,Subject-Verb Agreement
i am in job hunting .,0,Subject-Verb Agreement
I heard you should send money by registered mail by August th .,0,Future Simple Tense
God help me ! !,0,Subject-Verb Agreement
for replacing the plastic .,0,Present Continuous Tense
And he jumped into somewhere in the car .,1,None
Today I cooked french fries .,1,None
We always feel something special in the season of cherry blossoms .,1,None
There are a lot of funny characters who seem to be in our office .,1,None
See you again !,1,None
having a party with your classmates does not mean that the cohesion in your class is getting better .,0,Present Continuous Tense
please correct in writing .,0,Subject-Verb Agreement
It was so hard to catch every single word .,0,Past Simple Tense
Our trip was interesting .,0,Subject-Verb Agreement
"The members are around years old , and I am almost as old as they are .",0,Subject-Verb Agreement
"Because he has to do military service , I gave my gift and wishes to him today .",0,Past Simple Tense
The thing is I want to make a jourey through all over the world for life .,0,Subject-Verb Agreement
"So , I started to take many mock interview lessons with different teachers every day .",1,None
This is very tiering and making me drowsy .,0,Present Continuous Tense
They will eat nothing since becoming images .,0,Future Continuous Tense
Already March has come .,0,Subject-Verb Agreement
apply the Quantum mechanics instead of the Classical physics to explain its feathers .,1,None
Do you have any other musicians you recommend ?,1,None
I know what I need is to wait and think for a while .,1,None
"Hotel fee , yen",1,None
"Though I did not worry about my jaws , I had a weight on my mind .",0,Past Simple Tense
I played table tennis .,1,None
I read Anne of Green Gables again .,1,None
"As for sedan , although its sales was growing until but the sales decreased since then .",0,Subject-Verb Agreement
"By the way , do you know what voluntary retirement is ?",0,Subject-Verb Agreement
"I want to take the good point , so I study them hard !",1,None
"For example , an advertising of a new created toy or drawing book can make child curious about these new things and therefore the child will try to find out what is that and what is it for .",0,Present Perfect Tense
"It is so stressful to be here , and I do not want to talk , ",1,None
"After a bath , she gives Popo a cup of tea . ",1,None
But now I just want to tell you my impressions .,1,None
"Am I like him just a brother , or .",1,None
"But , the biggest problem is that I m not interested in acting at all .",0,Subject-Verb Agreement
it was good .,0,Past Simple Tense
"People who usually use English , do everyone input the full spelling of a word ?",0,Subject-Verb Agreement
- Sweet potatos one of my firend gave me a few days ago .,0,Subject-Verb Agreement
I often think about the question of what a successful woman is .,0,Subject-Verb Agreement
accurate rules and ask her to follow and let her know why .,1,None
Because this helps me to break the,1,None
My diary -,1,None
The problem is how much I earn in those places .,0,Subject-Verb Agreement
"He plays with so many great artists , like Stan Gets , Chick Corea , Pat Metheny or Keith Jarrett and is known as a contemporary jazz musician as well .",0,Present Perfect Tense
My feeling,1,None
"German is very difficult , but I enjoy studying German !",0,Present Continuous Tense
"I think my weak point is my mind or heart , so I get trouble sometimes at the office and anywhere .",0,Subject-Verb Agreement
"Every time we have to do a project , she always does not do anything , just like a queen .",1,None
"If a woman is not supported in being unhappy sometimes , then she can never truly be happy .",0,Subject-Verb Agreement
"But , alas !",1,None
Thank you for every country .,1,None
"Today I planned to have a date with her , but she canceled it .",1,None
We did not have true leader .,0,Past Simple Tense
I have got a influenza in the week before last .,0,Present Perfect Tense
"The founder told me You do not need to find a room in harry , otherwise possibly you will find strange house or room .",0,Subject-Verb Agreement
The information was his funeral .,0,Subject-Verb Agreement
It was not a bit of a problem for me because I was full of expectation and pleasure that I was going to see the exhibition at last !,0,Past Simple Tense
I took a sauna and played kick boxing after working to be on a diet .,0,Past Simple Tense
They had so much fun being together they stop working hard .,0,Past Simple Tense
I think she quitted the negotiation after that and asked me to recommend her to my friends if they wanted to learn English .,1,None
I think I will become very tired today .,0,Future Continuous Tense
as to have opportunities to enjoy English conversation for free .,1,None
These figures clearly support the disadvantages of ELLs compared to native speakers as the seemingly slight coverage difference leads to critical comprehension gaps .,0,Subject-Verb Agreement
The keyboard has a QWERTY keyboard having luminous letters depending on its direction .,0,Subject-Verb Agreement
This name comes from the part of its plot that people became Zombies because of the virus spread by an accident in a laboratory,0,Subject-Verb Agreement
"Although , I think we can not enjoy ourselves without spending time .",0,Future Simple Tense
A meaning of the word I knew was pressure .,0,Past Simple Tense
I think i enter this school a day or two days ago .,1,None
Hi everyone .,1,None
I do not like raisins .,1,None
I felt like a trickster .,1,None
"If you can say in detail about it , It is better .",0,Future Simple Tense
The fireworks were amazingly beautiful and so big as if we could touch them .,0,Subject-Verb Agreement
I have some friends in N .,1,None
So I was good at listening to Japanese .,0,Past Simple Tense
"I played GameCube Edition , PlayStation Edition , and Wii Edition .",1,None
Should I straddle and crush my nuts ?,0,Future Simple Tense
"So , It is holiday to me .",1,None
I like to read magazines in English .,1,None
"you know , . ",1,None
Spring is comming to the corner .,0,Subject-Verb Agreement
Happy new year,1,None
I know I have to write a diary in English steadily in order that my English improves .,1,None
I enjoyed playing volleyball .,0,Present Continuous Tense
Hi !,1,None
"However , work conditions are more important , because if they re not good , their motivations would down and their abilities would decline too .",0,Subject-Verb Agreement
"Compared to last time , I really improved my spoken speed .",0,Present Perfect Tense
But I could not stop eating .,0,Future Simple Tense
I did not keep writting here is not because i am lazy or what but because i do not really have time .,0,Past Simple Tense
It is difficult to choice the dairy topic .,1,None
"Then , today I received the manual and it is the worst nightmare in my life it has pages all technical English .",1,None
How are you,1,None
"When I cry , she comes to me and licks my hand .",1,None
Do you like Ninja ?,1,None
"By the way , one problem at school is deciding their homework , which is , I guess , not all at my discretion .",0,Subject-Verb Agreement
"I am not used to reading books in English , so I can not read quickly .",0,Present Perfect Tense
I must not choose wrong way anymore .,0,Future Simple Tense
I am glad my English sentence is corrected .,0,Subject-Verb Agreement
I saw his figure running in the night through the window .,0,Past Simple Tense
But I guess it was my daughter who gave the best present to my parents .,0,Present Simple Tense
I have just joined and read some entries .,0,Present Perfect Tense
What do you say to these two signs in English ?,1,None
I feel very sorry for the people .,1,None
You ask ?,1,None
It is a kind of exercise DVD like Billy is boot camp .,0,Subject-Verb Agreement
British Life,1,None
There are games on Thursday and I go to school .,1,None
I am preparing for shipping .,0,Present Continuous Tense
It is said to be the last and most beautiful beach in the world .,0,Past Simple Tense
I took a Chief Telecommunications engineer exam today .,0,Past Simple Tense
"Techno , House , ",1,None
We took shelter out of office .,0,Past Simple Tense
But I did not notice that .,0,Past Simple Tense
All people who take part in the tour danced hardly in the bus .,0,Subject-Verb Agreement
I look forward to the year - end party .,1,None
And Our team worked together hours to go .,0,Subject-Verb Agreement
Today was a national holiday called Labor Day .,0,Subject-Verb Agreement
becuse i .,1,None
I think most people like it .,1,None
in English,1,None
"She was very kind , but I did not feel like talking to her anymore .",0,Past Simple Tense
I realized my computer is memory was full yesterday .,0,Subject-Verb Agreement
I do not know why I am thinking about that cafe .,0,Present Continuous Tense
What is your opinion ?,1,None
the scale has two meanings ?,0,Subject-Verb Agreement
Thank for your listening,1,None
"My life is one big rhyme , I try to scheme through it",0,Subject-Verb Agreement
"They all say This is international woman is day , but immediately surprised me , who else is celebrating this holiday ? .",0,Subject-Verb Agreement
"Last week I found the host posted a interested article for next time meeting , so I decided to join again after long time absencing .",0,Past Simple Tense
Today I will show you a useful and convenient method to use .,0,Future Continuous Tense
I am into studying English .,0,Present Continuous Tense
Thank God it is Friday .,1,None
But I saw that she was still a bit sad .,0,Past Simple Tense
She gave me a line in Japanese and asked me to translate it into a natural English .,0,Past Simple Tense
I have never try to played sonwbording .,0,Present Perfect Tense
I think when people die ?,0,Subject-Verb Agreement
The first day of Lang - !,1,None
WBC means World Baseball Classic .,0,Subject-Verb Agreement
He knows the other car owner .,1,None
She worked together me for years .,1,None
I felt like all of the theater poeple watch me .,1,None
So I scanned the sketches into my computer and used the softwares freehand and photoshop to do the designing .,0,Subject-Verb Agreement
She is too little to ride bicycle !,1,None
"I do not know what I have to do , or even what I want to do nowadays .",1,None
I have reasons that I decided to close the nuclear plants .,1,None
"But I changed the answer to one question seconds before the end of the test , but it was wrong , U U",0,Subject-Verb Agreement
American life,1,None
"It is important for us to have our goals in life , but it is more important to set effective goals according to your current situation .",0,Subject-Verb Agreement
" I had looked forward to travelling abroad , but I got fed up with seeing groups of Japanese tourists wherever I went .",0,Past Simple Tense
Also I was noticed my city is bright .,0,Past Simple Tense
Good night .,1,None
I play video games sometimes .,1,None
"Although I showed my student identification card , I had to show my pass in addtion to my student identification card .",0,Past Simple Tense
It means this album is consisted well like a good full course meal .,0,Subject-Verb Agreement
"I will start studying there from , so there are still years to prepare for it .",0,Future Continuous Tense
"At first , I was nervous a little bit .",0,Past Simple Tense
If there had been nobody around I thought I would have a good cry at that moment .,0,Past Simple Tense
I have not updated my blog for so long -,0,Present Perfect Tense
Sing us a song tonight,0,Present Continuous Tense
So I will ask them to know the situation after that he goes to the doctor .,0,Future Continuous Tense
Language exchange,1,None
because I want to save money .,1,None
I went out to take photos with my friend .,0,Past Simple Tense
I was made warm by this scarf .,0,Past Simple Tense
I am hungry .,1,None
"However , she returned to the shop next day and she said to the store manager , I do not like the ring I bought yesterday . ",0,Past Simple Tense
I have never .,1,None
I made a japanese dish with them for dinner .,0,Past Simple Tense
"Recently , i was busy with a project .",0,Subject-Verb Agreement
TV helps student to should I put to or not if not .,0,Subject-Verb Agreement
B The local tournament .,1,None
But it was a good practice to make a sentence instantly .,0,Past Simple Tense
Japan lost the game to Paraguay .,0,Subject-Verb Agreement
How do you like your beef stew ?,1,None
"Like me , I am not very patient and sensitive about numbers , but now my work is closely related to numbers . It makes me learn to be much more patient and careful .",0,Subject-Verb Agreement
He also taught me some tongue twister .,0,Past Simple Tense
This is my Declaration,1,None
My Michigan friends have been making some exciting plans for me .,0,Subject-Verb Agreement
I believe tradtinal kimono was considered as untradional manner in the past .,0,Subject-Verb Agreement
I have a plan to go to London ! !,1,None
My time boat has totally capsized .,0,Subject-Verb Agreement
Help me .,1,None
And then I drove hour to my house .,0,Past Simple Tense
"The Championships , Wimbledon",1,None
Atmosphere in Northern restaurant is better than in the southern one .,0,Subject-Verb Agreement
"I like it very much , and it is easy to make it .",1,None
I hope it will be a good experience for my English studies .,0,Future Continuous Tense
Hi there,1,None
Thank you for your email and sending me the detailed TV commercial script .,0,Present Continuous Tense
My first post .,1,None
Which season do you like ?,0,Subject-Verb Agreement
"There is a famous saying Neither friends nor trivals are everlasting , but only profits . If we want to get more interests , we should cooperate , not against .",0,Present Continuous Tense
"These days , North Korea is infant mortality rate is worse than African refugees condition .",0,Subject-Verb Agreement
"When I opened the door , Ben was standing there .",0,Subject-Verb Agreement
"This can be seen in many aspects of society , such as the political system , traffic regulations , language and so on .",0,Future Simple Tense
A Where is the laundromat ?,0,Subject-Verb Agreement
"We are proud of the college of medicine , today .",1,None
I have been saying that time is very important though . I want you to take care asking the question ' how should we spend our time ? ' .,0,Past Perfect Tense
The author says when speaking you should know some rules which are comon among English speakers .,0,Subject-Verb Agreement
The staff retires and then he she begins the work in the same workplace again because a pension is not paid .,0,Subject-Verb Agreement
"Usually , almost all Japanese get days off , which is nice .",1,None
We had enriching times together .,0,Past Simple Tense
"Firstly , I felt unconfident , for I knew that I m common and small person ",0,Past Simple Tense
"Some think it is beneficial , but other people disagree .",0,Subject-Verb Agreement
My answer,1,None
" I do not like it keeps raining everyday though , It is not very hot but so confortable .",0,Present Continuous Tense
make friends with others,1,None
It is difficult to master English .,1,None
"She texted me she wanted to meet me somewhere to give me some little souvenirs from Hokkaido , so I proposed to her that I go there .",1,None
The guitarist Slash is good at that .,0,Subject-Verb Agreement
I like cooking .,0,Present Continuous Tense
"This morning , I got up at seven .",0,Past Simple Tense
"Above all , nowadays , college students face great employment pressure .",0,Subject-Verb Agreement
B Sure .,1,None
Do you know ramen .,1,None
So I feel like try to drink these wine would not I .,0,Future Simple Tense
I agree with her and college should make efforts for visitors .,0,Future Simple Tense
"Dear Sir Madam , ",1,None
Sometimes you get what you are not interested in .,1,None
Do native English speakers also feel that his speech is easy to listen ?,0,Subject-Verb Agreement
Is this your first arrival ?,1,None
of my department officers were moved elsewhere .,0,Subject-Verb Agreement
Some students are running around the school .,0,Subject-Verb Agreement
"But now , I love to have Korean traditional style dishes .",1,None
"The princess tried to persuade him to stay , but finally she accepted",0,Subject-Verb Agreement
I completely live in the opposite time .,1,None
"Tell me , please ",1,None
"Though we lost in the finals of the league competition , these experiences were valuable for me .",0,Past Simple Tense
I do not like summer .,1,None
"Yesterday , I introduced you to a logical puzzle .",1,None
Then I realized there are so many Mother Goose in novels and movies .,1,None
"I think this problem is one of the most serious ones - for another example , to cure cancer - we have to solve .",0,Subject-Verb Agreement
Too much !,1,None
I m amazing when I watch the Trailer .,0,Present Continuous Tense
"Therefore , I have had to improve my English skills so I have a plan to move to the next level class .",0,Present Perfect Tense
It might be too late but I decided to stop eating snacks and chocolates until the check - up .,0,Future Simple Tense
The wedding planner made a mistake - they both had their wedding on the same date .,0,Subject-Verb Agreement
Their mother had gone through a very hard time to have them .,0,Subject-Verb Agreement
I have to work and do not have a holiday .,1,None
Please advise if it is acceptable for you .,0,Subject-Verb Agreement
I watching to their body every day .,0,Present Continuous Tense
I think you will be able to do it .,0,Future Continuous Tense
My pet,1,None
"Recently , it is getting cool so I feel autumn .",0,Present Continuous Tense
chord Funk,1,None
"both of them train so hard , ",1,None
"And I also study English and Italian , but I do nt have confident with my communication skill of these because , I have never experienced homestay or studying abroad .",0,Present Perfect Tense
I am going to meet my friends on Christmas eve !,0,Present Continuous Tense
But my mother and my family took comfort from Grace .,0,Subject-Verb Agreement
We laughed seeing the scene .,0,Present Continuous Tense
So if you have got a bit time to talk to me through skype I would be quite splendid !,0,Present Perfect Tense
I suppose that pupils would rather have a year for find a job and gain experience or travel to widen their insight than enter straight to university after finishing at high school,0,Future Simple Tense
The wind is very strong and it is raining . The temperature is also very low .,0,Subject-Verb Agreement
But we once had a chance to find out .,0,Past Simple Tense
"Lol , Amelie , days of summer .",1,None
I drew two paintings every day .,0,Past Simple Tense
Good luck my friend .,1,None
Some Camembert cheese .,1,None
Peter and his company comprise susceptible fellows .,1,None
Thank you so much for your time and help .,1,None
I could n t walk .,0,Future Simple Tense
Even some people can work at home using a computer or telephone .,0,Future Simple Tense
"Eh , i just do not know what to tell more .",1,None
It is personal .,1,None
Today I watched Letter from Iwo Jima on televition .,1,None
I live in my company dormitory .,1,None
"Accordingly , I encountered the most funny business .",1,None
"As for making a presentation , I recognized that it is very important to prepare and practice once and again .",0,Present Continuous Tense
"Some people say that because of the Internet , TV will disappear some day instead .",0,Subject-Verb Agreement
"Hello , everyone , my name is lily .",0,Subject-Verb Agreement
I am so much indulged in those old - days memories which relax me from my busy work .,0,Present Perfect Tense
But I want to make my blog very interesting even if my mother tongue is not English .,0,Subject-Verb Agreement
I have a restaurant here in Japan .,1,None
I used to bring my notebook to note down new vocabulary and my translator to help me look it up .,1,None
Friends of my mother live there and we exchanged houses for weeks .,0,Subject-Verb Agreement
"Also , he makes lyrics , so the lyrics that he made are very unique .",0,Past Simple Tense
Is the following sentence appropriate for a letter one company sends to another company informing termination of contract ?,0,Subject-Verb Agreement
Hello guys !,1,None
"In school , I am not a good student and also I am not a bad student .",1,None
lol I have to make more kimchijeon a lot .,1,None
I met an experienced sales rep recently .,0,Past Simple Tense
"At least years , in this city .",1,None
Long time no see .,1,None
"After a huge fight , I decided to put aside my personal interests and build up my own dancing club .",1,None
They seem to love each other .,1,None
We shall never allow ourselves to drift away,0,Future Continuous Tense
Kids Confuse English and Native Language,1,None
because shortly join,1,None
That is why I am travelling to the States this year .,0,Present Continuous Tense
Jesus Christ is shedding bloody tears for me .,0,Subject-Verb Agreement
Safe driving does not mean slow driving .,0,Subject-Verb Agreement
I wo not know until I buy them .,0,Future Simple Tense
This will give me the power to study from tomorrow .,0,Future Continuous Tense
"I do not remember how many times I mentioned it , but again it is high time I focused much more on input training .",1,None
"However , I am bound to distress myself about the weak point .",1,None
I really felt sorry for her about her having such negative thoughts about herself .,0,Past Simple Tense
People can get what you are trying to say .,0,Future Simple Tense
I have a cold since yesterday .,1,None
I love illustrations !,1,None
I have no time to rest because of work .,1,None
Most of us eager to have a romantic love just like a beautiful princess meets a handsome prince .,0,Subject-Verb Agreement
"Receiving a letter from a friend , especially a letter from abroad with an exotic tint , is indeed a bliss in life , providing that there s no need to reply .",0,Present Continuous Tense
"But the fresh feeling and passion were gone quickly , instead I felt afraid and embarrassed .",0,Subject-Verb Agreement
Challenge with preparation and lose with grace if you are a man .,1,None
I think that the only way to learn a language for real is by using it with people who speak it every day . That is why I would really like to have some English and American friends who can help me to achieve my goal .,0,Present Continuous Tense
"After years , a snowstorm had hit the Korea .",0,Subject-Verb Agreement
"I could not drink a lot , though it was all - you - can - drink .",0,Future Simple Tense
Do you think what it is ?,1,None
Let It Will Be Push .,1,None
But I am afraid of that movie maybe make a foreigner .,1,None
I always think if I can speak English how nice it is .,0,Future Simple Tense
I would like to know about the public safety of the US for my plan to go to L . A .,0,Future Simple Tense
I am afraid I am not sure about Sailor Moon because I am not a young girl .,1,None
"Although my English is not good , I hope to get your kindness revise .",0,Subject-Verb Agreement
Do not compare yourself to others .,1,None
And the prize comes from the sponsors who advertise on the website .,0,Subject-Verb Agreement
"Hi , come in .",1,None
I am looking forward to visiting .,0,Present Continuous Tense
There are cream - filled pastries .,1,None
free bus,1,None
And I bought a USB in order to watch DVDs .,0,Past Simple Tense
I have a quick question and your help will be very appreciated .,0,Future Continuous Tense
My exams are over and now I have some time to kill .,0,Subject-Verb Agreement
There were beautiful mountains in my home town and we had beautiful snow every winter .,0,Past Simple Tense
"Seeing fish is abdomen in fish tanks , if you find fish has eggs , you pick up the one using your bare hands .",0,Present Continuous Tense
My big brother also works there w me .,1,None
Japanese spirit has grown up in this environment .,0,Subject-Verb Agreement
"So , could we make a contact between the two organizations ?We are interested in it and have huge enthusiasm to make it .",0,Future Simple Tense
"It stores some liquid which smells like a nectar , but the liquid is an aqueous solution which can liquefy anything .",0,Subject-Verb Agreement
"Besides , you know , the building",1,None
He eats a lot and is lazy in our house and yet he does not get fat .,0,Present Perfect Tense
Sometimes I use Logic,1,None
"However When Winter Sonata was broadcast in Japan , many of many of whom presumably cherished negative sentiments toward Korean changed their mind and perception toward Korean .",0,Subject-Verb Agreement
"You can always take time to spend working , having a party .",0,Future Simple Tense
"Fortunately , it looks like a Chinese or Hong Kong name , so it should be OK with them .",0,Future Simple Tense
Sudden text,1,None
"No , I have not .",1,None
"Anyway , Kenji is impolite .",0,Subject-Verb Agreement
"To be honest , I am not certain how much money are allocated to where .",0,Subject-Verb Agreement
"Anyway , it is nice to be here , though I guess I have to try my best to keep up the practice , writing a short diary or something else .",0,Present Simple Tense
you to do everything .,1,None
Even a native Japanese suffers that problem .,1,None
I want to do exercise .,1,None
"I hate the doctor . He killed my dog , because he did not know how to save animals !",0,Past Simple Tense
"In particular , they often have an original or special lunch .",1,None
It is been a while since I accessed Lang - .,0,Past Perfect Tense
" I do not know , but tears comes up automatically .",0,Subject-Verb Agreement
