text,predicted_label
My English teacher gave me homework to describe three pictures .,1
Long time no see .,0
I made a group with people who are teachers and they helped me a bit .,0
"Oh , no ! !",0
"The people in the Joumon era invented an earthen vessel more than , years ago .",1
"However , as we stayed up late last night , we overslept in the morning .",0
"but I woke up , am .",0
I always try to understand English without translating .,1
Thank God it is Friday .,0
I hope it will be better later .,0
Because I concerned about somebody hate a shark in somewhere on Earth .,1
I would like to talk about ' comparing myself with others ' .,0
"SO , I am very happy to join this site .",0
Do not you think so ?,0
Is he famous and popular in Korea ?,1
Maybe that is because I am about to have a big exam in a few months .,0
I had seen the movie The DaVinci Code and also read already the novels The DaVinci Code and Angels Demons . I prefer Angels Demons than another one .,0
I was surprised to see many non - Japanese people there .,1
Sashimi in a market,1
"On the way to the top , I was tired and I stopped running .",0
Today I will write about myself and about the boring events that happen in my life .,0
"I like winter sports , especially snowboarding .",0
Japan won Australia in the final of the Asia Cup .,1
I translate Japanese sentences into English sentences .,1
I do not,0
Stuff is going to come home tomorrow .,0
you to do everything .,0
I like love the world,0
I have come to like it since I came to Canada .,0
I have been to Canberra for two months now and I am on my visitor is visa so I can not work .,0
"After she goes home , she spends all her time on eBay and sells and buys many things old trousers , armchair , lamp , a collection of flowerpots .",1
"In the English version , I can hardly follow what he says . , - ",1
i went to the bank and deposited my money .,0
I remember the day I came to Canada .,0
Other thing I wanted to say is that I started searching for penpals from anywhere in the world and I found some really nice girls .,1
Sudden text,0
drawing an icon,1
"And the last song , singing with everybody who sang and danced for me for the last .",0
"From here , I am goning to mention about chemistry , , ",0
Hey little train !,0
I am currently working as an engineer .,0
I passed by a brothel and I could see them sitting inside a big glass room .,1
hope you answer,0
"Hello , lang - users !",0
Cure or care,0
" , which caused big traffic jams every day , long car teams instead of big long bicycle teams !",1
We are cheerd up by them ! ! ! ! ! !,0
I thought A S from ASUS might be not good because it is made in china .,1
I want to go to France or Ireland someday so I hope to find in there countries .,0
Becaus I will take a picture of the wedding this Friday .,0
It was very interested .,0
"But , I really want to learn English well .",0
"After that , I did some shopping and I bought the food for tonight , drinks , snacks , the food for week .",0
show Buffy and as Piccoro from Dragonball Evolution last April .,1
"One day she told me , Today my roommates went out and took some pictures .",1
I am very angry .,0
Could you tell me about your opinions ?,0
Today I am going to write about my business trip .,0
Now I will introduce you AFN radio advertisement selection .,0
Oh no !,0
I started to chat with my Skype friends again .,0
My friend mother made us delicious food .,0
This change made the new influenza virus to infect human efficiency .,0
This liquid is never dangerous but is familiar to us .,0
I would say in the entry that I am traveling all over the world .,0
It was said that I would be able to work there as a Japanese teacher from April .,0
you may be able to understand and enjoy the elegance of,0
"So , I must learn it .",0
Cleaning with the Baking Powder,1
He is really fantastic !,0
I have not written my diary because I have been busy .,0
"I love TV , computer , wi - fi , elevator , car , air plane .",0
I think it is very interesting and funny holiday !,0
In the evening ?,0
travelog Sapporo Snow Festival,1
A bad cold has finally gone away !,0
So I will go see them ! !,0
It should be appreciated that people in my country have various religions .,0
"We are members of the ZZZZZ Interbusiness Research Institute , ",0
"Because , older peaple work till too late and somtimes go to work on holiday .",1
Are you wedding ?,0
Talking with Skype,0
He sent me an e - mail just now .,0
I helped him to correct them .,0
It is so cool since it is not a fan for CPU but an ordinary table fan .,1
Somebody towed my car .,1
"Though I have one more free day at the weekend , I waste it .",1
Today I had a leisurely day .,0
"Though the CPA test is said to be one of the three most difficult exams in Japan , I think anyone can pass it if they study hard .",1
"Whatever he says , he adds ' Can I ' at the beginning of the sentence .",1
He told me that there was a fantastic event in that jail .,0
"I am hoping that by paying a subscription fee , I can help this website to persist and , hopefully , grow .",0
I just went to school to take classes .,0
"Thanks , but no thanks .",1
I think I have to work harder .,0
Thank you for your correction !,0
I made a nabe for my kids today because my wife got a cold and she is lying in bed still .,1
"By the way , I am worried about my English .",0
People have a custom to clean their houses in Japan .,1
"I agreed with it , because I was a victim .",0
JFK museum,1
"Oneday , I was hanging out with my femael friend , They",0
It is one of the most controversial issue in the world .,0
I was very lucky to be able to contact my family right after the quake and make sure that they are fine .,0
"Some were practicing singing , ",1
"On new years eve , I went to the count down party at the club with my friends .",0
From Nick in Iwate,1
"Opponents of cellular phones being banned on their arguments on three main issues individual learning , good - quality lectures and dealing with disasters .",0
"I was surprised at this word at first , because I think this kind of status is important only in Asian culture . ",1
He was jealous of Chuck .,1
"About me , I started from level two .",0
"For example , what kind of bread do you want to bake or do you want to get vegetables .",0
So my family and I visited our family is grave on September .,0
I get motivation a little .,0
"In addition , I also have learned Japanese just for one year .",0
Excuse me .,0
Event announcement,0
And you ?,0
"Besides , the university student must study !",1
When did you meet him and where ?,0
Let me love someone ! !,0
Actually it was my mother - in - law is birthday .,0
I want to be with my family more ! !,0
"So , I am writing now .",0
"However , I think he must be given the death penalty .",0
Now I am preparing for the BEC test on May st .,0
"A few days before the semester started , I paid for the insurance twice by mistake .",1
"I think German is like Spanish , it has like tenses and a complex grammar .",1
And I have searched for information about where to stay there .,0
"However , thinking is always easier than doing .",0
She did nt like it .,1
The man who can do it is only me .,0
"If you are OK , please check ! ",0
I gave them food and drink .,0
I do not have a experience of Photographer before,0
"The red rabbit is Kirenenko , who is the leader of the Mafia , and he really likes collecting shoes .",1
"Last week , Microsoft launched its new digital controller , Kinect , which was designed to compete against the Wii and Sony is Move , at E .",0
"In these ways , we contribute to miscommunication between each other because of a difference between high context culture and low context culture .",0
I get new philosophy there sometimes .,1
Thank you .,0
The Powers That Be know all this and are keeping this knowledge to themselves .,0
"Today , I cooked tomato stew of comminuted meat , zucchini and asparagus .",1
"But , so it is very fun .",0
"some shopkeepers said we do not need any more , but the notices are still pasted on the front door .",1
It is as a JPEG - Dekrompression .,0
"I know I am thinking too logically , but it sometimes gives me a new perspective , after all .",0
So we often talk that the season in Filipino is better than mine .,1
I really do not want to go to school .,0
So I was said you are not cooperative .,0
"I am going to enjoy today , let is go .",0
So I ate lunch with a lot of vegetables ! !,0
So it was cancelled .,0
Am I selfish ?,1
"but my knowledge , what should I do ?",1
My height is cm .,0
"It , s activity is Monday , Thursday and Saturday !",1
"I get up early , running , having breakfast , spending the whole day at home , and then go to sleep .",0
"I went to KFC alone once again a few days ago , without specific aims .",0
There is the hole in the ceiling .,1
"For example , an advertising of a new created toy or drawing book can make child curious about these new things and therefore the child will try to find out what is that and what is it for .",0
HOW toENT a HOUSE in JAPAN,1
"its not that I do nt like this job , its just that I want to find vocation , lol ",1
Step to the future .,0
"Recently , it is getting cool so I feel autumn .",0
The most hated gadget for the British people .,1
That taste really depends on the restaurant .,1
See you next time,0
But the bath powders are your best friends when you take a bath ! ! !,1
"When I got home , my wife had gotten indisposed for hours .",0
Please connect with me ! !,0
But I will try hard !,0
Nice to meet you .,0
That is an absolutely fantastic accolade . I have never seen before .,0
On wendnesday was sad .,0
"When I was an elementary school student , I wanted to be a bookseller or an illustrator .",1
"I want to improve my English ability , and I also want to improve my TOEIC score .",0
"It is too late , I should go to bed .",0
I was told that in February this year a Taiwanese student was hit by a taxi driver here .,1
I love airplanes and beaches but Princess Juliana airport is very far from Japan .,1
"After a while , her eyes did not get better , so I decided to go to another doctor .",0
like it is very well - loved character TO AMONG both just fans of the book and Gene Wilder is performance,1
She has been distant with her husband since that incident .,1
"Anyway , the given sentence is ",0
"So , I surmised from it .",0
"ML is well suited to any place , such as desk , by monitor , by TV , book shelves .",1
The teacher from whom I learned English was named Jordan .,1
I turned around and told her I really hope I can go help in the shelter during my holidays in Japan .,0
"Any way , I have a school s welcome party at pub after class where is near by school .",0
Post boxes have initials of the king at the reign in England .,1
I ca not hear what you are saying at all !,0
And the prize comes from the sponsors who advertise on the website .,0
I would like to brush up my English .,0
I did not think it was her fault .,0
"I can enjoy watching movie , listening songs , reading texts including news papers or articles around the world , and simply tapping and scrolling the screen .",1
"For example , by googling , I found Inequality in Britain is of developing world levels , but an equally good , if not better , way to say it is Inequality in Britain is at developing world levels .",1
"Since English , my major , has spread nearly all over the world , we divided ourselves into groups .",1
"John the Orphanotrophus , my brother , has told me that Maniakes is involved in a plot against me .",1
"On the other hands , I thought about the payment of the live .",0
What appears first in your mind when you hear the word advertising ?,1
Almost of the farm say on their HP that strawberry does not grow up enough to eat so far .,0
"Because of my not being on time , I had to sit in the front row , in a class room with a very high blackboard and a tall teacher .",1
My height is meter centimeters .,1
In English .,0
We shall never allow ourselves to drift away,0
for replacing the plastic .,1
I am writing this blog from iPhone today .,0
"I always ask the opinion of my friends , because the darest mission autors have is to make the readers get ecxatly what you are trying to say .",1
The land is barren and the plants wither away .,1
Would you try it ? ? ?,1
Is bike used for the same meaning as bicycle ?,1
My trip in Okinawa .,1
"People who usually use English , do everyone input the full spelling of a word ?",1
I felt today is less cold than yesterday .,0
"First of all , he is not handsome .",0
Correct me,0
Wahaha That is not important .,1
"The little girl sweated a lot , she cried a lot , and the most important thing , she thought that the irregular verbs in english were pretty hard to remember .",1
It sounds normal .,1
"So , let me end with one of my favorite quotes from Martin Luther King .",1
I worry about the effects of radioactivity .,0
"By doing so , I came to love studying English because I found it interesting to understand the meaning of foreign songs .",1
I had it for a long time ago .,0
I do nt know why I was like that .,1
To be continued,0
He kept watching people is reactions to the rock which was placed in a very awkward spot .,1
I entered the skype,0
See you later .,0
please leave me .,0
"Maybe , she were surprise .",0
That is why he can always face my irrationality with patience .,0
"My university life is very boring , ",1
"At first , I was nervous a little bit .",0
"My hobby is table tennis , playing every Saturday .",0
The wedding planner made a mistake - they both had their wedding on the same date .,1
It s good enough .,1
"Or , is it helpful to study Chinese simultaneously with studying English ?",1
I thought that the quality was a little low .,0
This fish is fresh .,1
I am glad to join this site .,0
Thank you for reading my diary .,0
Someone who I have ever seen is not very close to me .,1
I became nervous .,0
The British Invasion flooded the US and put an end to the Brothers ' success .,1
they need me to do some thing for them .,0
"Still , till I was asleep , I could not figure out what was causing me to have the fever .",0
All my friends at Lang -,0
I love illustrations !,0
I am glad to check your Japanese .,0
Love is imperative form of verb love .,1
"Therefore , I would love to improve my hearing skill more and more .",0
"As for me , I did not have one at home until I bought one myself a few years after I started working .",1
I am going to take the TOEIC test on st December .,0
"with many a woe , ",0
"It is been very cool for last few days , though it was rather hot until only a while ago .",1
This way of learning is completely different from that at school .,0
They have huge numbers of picture books that were published all over the world .,1
"Therefore , I had no ideas which words could be fit for me .",0
"To our surprise , however , four pizzas were served !",0
Some of them were very familiar to me because I had already studied them for the tests in my middle and high schools .,0
I have taken a big mistake .,0
God help me ! !,0
"Unfortunately , I could not find my bicycle .",0
we worried abit for our teacher because she has never been late .,0
"Secondly , we can spend more time with our family .",0
I want to a movie .,0
One woman followed an objection .,1
It predicted good fortune for me .,0
Thank you so much for your time and help .,0
It was very hot day and there was much of thunderhead in the blue sky .,0
"In the snow , it is so cold though it is beautiful .",1
What is the fascination ?,1
"Even after soaking in the sea , the sunbeam promptly evaporated our soggy wears .",0
"Electricity to most of the affected homes has been restored , officials at the Korea Electric Power Corporation said .",0
Sometimes it can make out many misunderstanding .,0
Alice is Adventures in Wonderland,1
"Is not that cool , mom ?",1
I watched Lang - about half a day .,0
I will start reading twilight new moon soon .,0
,0
"Recently , I cook myself",0
I found how tricky it could be talking to person through microphone in English .,0
I am wondering if is this sentence OK for native English speaker .,1
This is firs time to write this diary .,1
"Just now , I wanted to buy some bread for tomorrow is breakfast , however , the shop had closed when I got there !",0
"In fact , I think this cooking smells bad , but I like this cooking .",1
but we were not in the same classes .,0
I want to take a trip to Australia to have a working holiday .,0
Ideal Home,0
I have a plan to go to London ! !,0
"So I bet with my co - worker that if I get over score in TOEIC he will buy me an extra digital TV , inch .",1
I have lots of homework .,0
"Let us go , because it is a curious .",0
Please teach me real English expression .,1
"So always keeping an optimistic mind , whenever ones dropped a blank hole .",0
My Troubles,0
"However , they were servants all the same as they hardly kept their own single life to have a date with the sorority , she said , and she wanted the same one who would devote herself to her .",1
There was a law exam .,1
Parents and professor gave me some good advice .,0
However I have longed for American life due to American home,0
I was puzzled about choosing limited sound .,0
But he is going to be deployed to one of the government offices because he had a car crash several years ago and doctors implanted some metal parts in his left leg .,1
Because I started to study English just nowaday .,1
My personal teacher and I have added this word to my essay Report .,0
"The Tokyo accent is the standard of Japan , but the Osaka accent has a strong characteristic and it s like a representative of dialects .",1
"Hi , everybody .",0
My old friends are really wonderful .,0
Today I took a souvenir from my hometown to the office .,0
I have one thing I want to do today .,0
I like music,0
And you ?,0
"I was down today , though the thrilling and romance movie lifted me up .",0
I had a dream . A woman is body was upon me in a class .,0
"These girls have different nationalities , such as Chinese , American and Korean .",0
They were lighthearted but a little pushy to Japanese people .,1
I went to Australia in,0
Nice to meet you !,0
They had so much fun being together they stop working hard .,0
"Therefore , I will announce LANG - .",0
So I got sunburned every summer .,1
"As a matter of fact , I learned about the ShorinjiKempo in my elementary school days .",1
I met a lot of frieds which had quitted my company few years ago .,0
Do you like Japanese comics ?,1
A strength of Softbank used to be only iphone .,1
"Please , help me , thanks a lot ",0
Today Tohoku and Kanto area are stopped by train . It will continue one day .,1
And I like the song Rock what you got by Superchick .,0
Reading the newspaper without fail .,1
Concert means a big band plays in a big stadium and hall .,1
"Secondly , it takes time for me to do parking every day because I just started driving two weeks ago and I have not got familiar with the driving skills .",0
He is four years old .,0
Long time no see .,0
"Last Friday , we went to them to arrange for the way to evaluate their inventories .",0
"These days , the price of oil still getting higher and higher .",1
A romantic thing is the same as that .,1
Her facial expression was very cute and I was very impressed by her .,0
This photo is Reira .,0
"there are a bookcase , TV , and a long sofa in the room .",1
And hit,0
to pass pre - st grade,0
in spite of English class,1
"To his surprised , he found out a real story about the photo in that .",1
"First , thanks for your messages to my diary .",0
Self introduction,0
Nice to meet you .,0
One day he talked about how he was punished by a schoolteacher for sleeping during the class .,1
Quit smoking Day Additional charges and costs for quitting smoking,0
I am really worried about this problem .,0
Do you know Sapporo ?,1
Afterwards I went to see my uncle .,0
Do not worry .,0
"However When Winter Sonata was broadcast in Japan , many of many of whom presumably cherished negative sentiments toward Korean changed their mind and perception toward Korean .",1
The Sorcerers Apprentice,1
"But with the pace of China s global , its weather seemed to have kept pace with the trend of global climate warming .",0
Try it !,0
I stayed up until five in the morning browsing some homepages .,0
I was so tired from waiting for him .,0
will release its smallest vehicle yet on Nov .,0
He said the importance of being ernest and thinking ernest .,0
Here is the video,0
That is it for today .,0
Why did you choose that major ?,1
afterwards will brew along with tea,0
All offers are exclusive services to customers of Sun and Fun tours .,0
"I also want to learn French and German , too .",0
"has been bolstering the enforcement of it , especially a cartel and various companies including a Japanese company were fined a huge amount of money . I intend to study",1
Please check .,0
A blog written by one of my favourite artists was burning .,0
Charity match and KING,1
"Last night , a typhoon attacked Tokyo , just at the time we were leaving work .",0
Hiring the staff of professionals who would decide about correctness of web ' contents could throw into crisis a responsible one .,1
It is interesting that it had a forcible way to end .,0
Write a diary in English .,1
I could not answer it at all .,0
So I will rest .,0
car repair,1
I began to clasp my fist for seconds because it was really hurting .,0
"As we moved to USA , a tough time was waiting ahead .",0
"His wife is young , hardworking and kind .",0
I am going back to Japan next month .,0
The situation is getting worse for young people to improve their skills to a higher level in addition to the subcontracting to various Asian countries .,0
I was very glad that they had a good time with Japanese culture .,0
"Actually , I had decided to go to SriLanka in Nov .",0
"Magic and religion , do they really mix ?",1
People can get what you are trying to say .,1
NEWS is a Japanese idol group .,0
Business essentials,0
That always seems just out of reach .,1
But now I just want to tell you my impressions .,1
i want to say to take care of driving to him .,0
,0
I would like to share this with all of you !,0
I wonder what it would be like to see a star up close .,0
"As you know , lots of Spanish words end with one of the five vowels , which makes it easier for us to match rhyming words .",1
But I was not there .,0
"Today , basic seminar class is canceled .",1
"Oh , it is time to go .",0
The boss told me that their company has many customers from different countries and English is a necessary language .,0
"Although I have studied data structure , algorithms and neural networks , I am still eager to learn lots of other fields in computer science , such as bioinformatics , operation systems and security .",0
This is no exception with the company I work for .,0
I ca nt stay calm when I come into a bag shop,1
"Lol , Amelie , days of summer .",1
Which is better ?,0
The entertainment of the year was given by a famous hypnotist .,1
"The former one is located in the east part , where Tokyo station is , the other one is in the west part .",1
"Somehow I d set the volume to the lowest , so I did nt hear you well .",0
Let me share it if you like .,0
And we have to bring an umbrella with us all the days .,0
Also my feeling is getting worse .,0
"When I was in middle school , I was given this sentence to translate into Japanese , as one of an English exam is problems ",1
It means may .,0
And I like mineral stones .,0
"Although it would not be enough to rent a house , and not too many people in my country really dare to live in a rented apartment at all - the fee is too high .",1
"Lang - is nice , but .",1
The picture to the right was the account I wrote today .,1
Where are you from ?,0
proved its effectiveness against common ailments .,0
Lucky and Dollar are dogs .,1
Thank you for your corrections and comments as always .,0
"But , the biggest problem is that I m not interested in acting at all .",1
I have set a goal of hours a month to study English .,0
I study English seriously because I am going to work abroad next year .,0
"In this case , it seems more natural to say mean . ",0
He absorbed a lot of knowlege .,0
Annoying Lang - Users,0
My friend is name is Akio Reichert .,0
"When I was junior high school student , I wanted to go to high school in abroad because I wanted to be in touch with a real English that people living there are use .",1
"Finally , Austrians network operator explained what they did .",1
"His novels ' vocabulary is my limitation , and I need much time to write in English .",0
"His main areas of focus include China is macro - economy , monetary policy , the exchange rate , financial sector reform , international trade and finance and FDI policy .",0
So I think I will use S like a note PC .,0
How do you think ?,0
Hey guys !,0
I have been so busy through December because of year - end parties .,0
Why do not you like sauce ?,1
Which season of the year do you like the best ?,1
But it s a good opportunity to learn English .,1
"However , whenever I sit in front of a mic , I am multitasking .",0
So I learned to that until graduated from this school .,0
"It is very common to be raining all day , but i hoped that it wo not be",0
Do we have all those things ?,0
"I am interested in history , drawing manga - like pictures , and English ",1
And her friend asked her to sing there .,1
I exchanged the old rubber stopper for new one .,0
"Like my life , there is no way back",0
I have needed you ever since I heard your voice .,0
Because of the latest one on my camera .,1
"Surprisingly , people drove cars too fast especially on the high way .",1
The first one is to wake up earlier in the morning .,0
"But , I need a few times even now .",0
The biblo has QWERTY keyboard having luminous letters depending on its direction .,1
People around me worked as usual and so I stayed home all day long .,0
I have something to talk about change specifications,0
" Maybe they all went out for a dinner , I said to myself , and went to the studyroom alone .",1
The cons of video cameras are the privacy issues .,1
"It comes to the Sunday finally , the only free day for me to relax myself .",0
Jaime and Mr .,1
"In addition , I can learn how important to keep a promise or a rule is from friends when I play with them .",0
Are you good at math ?,0
It is like I went for a drive for miles in the desert .,1
I have never been to Germany .,0
except Japanese historical drama .,1
"These college students have since graduated , and carried their university tradition into society .",1
This is my favorite video of them .,0
Because I took some classes there and I am the first person did that in my class .,1
The weather in Guam was so nice .,1
It is his first work travel in USA .,1
Something the president called unexceptablly high .,1
understanding these and not concentrating on my technical knowledge .,1
Hello guys !,0
I went to a party .,0
This Evening .,0
The weather is much better than yesterday .,0
My rating,0
I think that I keep writing a diary for study .,1
And I found myself leaving my house with BIG ANGER .,0
"Before writing this journal entry , I googled that .",0
"I will love you all the time , forever .",0
I feel like buying it as soon as possible .,1
I went to a beauty shop this weekend .,0
the first diary,0
I really enjoy learning foreign languages .,0
"When I met my friends , I was thinking that our relationship would not be go long .",0
"After something happy suddenly happens , people are suprised then become smile .",1
wha a pity .,1
He was very kind and always talked to me with a face full of smile .,0
"First , you can use the Internet to see many different places around the world from your house .",0
"One of two wild dogs , who was older , said loudly that there was only one who could be the king , that was the lion , because he was so brave in the war and none of the natives could be his opponent .",1
"So far , it is quite fun working here but it is tough to get used to working at night .",1
"It was like in the height of summer , ",0
Evangelion New Theatrical Edition is an animation series which is played in theaters .,1
"As you know , Easter is a Christan and Jew holiday .",1
Is this my groundless suspicion ?,1
Good night .,0
What do you expect from this course ?,0
i want to nobody but you,0
"But that was not that heavy , so I thought I can be help her even if I ca not use both hands .",0
Real business mail that I sent .,1
Would not he ?,0
"He said I think that the more freely information flows , the stronger the society becomes , because then citizens of countries around the world can hold their own governments accountable . ",0
It is wrong to say ' ice cream drink ' is not it ? X,0
"Each time our teacher said it s very ordinary for all of you who is majoring in English to talk with the foreigner fluently , I want to hide in the hole .",1
Today is very normal day to me .,0
I had flea market confused with free market .,0
"Oh , I should be going now if I do not want to be late for the listening class .",1
It was heavy one !,0
We hope to know the truth and give our hands to the people who need help .,0
My mother often picked me up out of it and took me to the bed until I was around seven years old .,0
They are very happy to collect what they love .,0
Week Test,0
"After I heard this description , I refused to do this surgery .",1
I met an experienced sales rep recently .,0
I saw very very beautiful sky in Irvine .,0
And of course I winked at every guy that smiled at me .,0
Life is good .,0
And sometimes I change them into Amazon is tickets for me or a coffee gift for my parents .,1
I spoke with her in English .,0
I have never even written diary in my language .,1
What are light novels ?,1
What appears firstly in your mind when you hear the word advertising ?,1
what is wrong with me ?,0
"B Ok , goodbye .",0
"Because he has to do military service , I gave my gift and wishes to him today .",0
My little brother and father had already performed military service in the land forces .,0
So I scanned the sketches into my computer and used the softwares freehand and photoshop to do the designing .,1
Do not compare yourself to others .,0
It made me very depressed .,0
"So people have to study English even though they do not speak a tip of English throughout their lives and spend a lot of money and time to meet the government is goal , not their goal .",1
. Do you know what today is ?,0
But actually I face some difficulties .,0
Even the coffee - maker now has a Powered by Kaspersky sign on it .,1
Outdoors school,0
"Of course she is dear girl , and maybe I am in love with her just a little bit . ",1
"Everybody living in a foreign country has different reasons studying English , working , loving travelling over the world .",1
Anyway my son got diarrhea a few days ago and now he has a high fever .,1
I want to write a diary every day in Lang - .,0
"I have seasons , and , but I watch them little by little .",0
"Seeing the back experience note , I was interested in that they could have fulfilling life even though it was short and I can get a scholarship .",0
"Yesterday , I tried on kimonos .",0
My jop !,0
" - after I got up , I wasted some time using the lap top etc .",1
The next problem,0
"You can see and learn many things there , for example Japanese major character , how to make anime , the historical valuables related with anime .",1
It was good .,0
Our shopping course is always almost the same .,0
"While he is in two minds , the mother decides to leave him to her old father , who renounced her due to the crime .",1
"Fyi , my blood type is O so do not give me other blood type is blood I will die .",1
Thank you in advance .,0
I do not want to throw it on the street because my town gets dirty .,1
I am so sorry that i could not talk with you that day .,0
"Wow , I just posted a new diary entry and it felt so right doing it ",0
I believe all Japanese people ca nt live without it .,1
"Today was a holiday , so I slept until later in the morning .",0
I guess it will take about week .,0
"When she left the table to prepare for some snack , Jubay happened to observe how ' they ' were .",1
"Today , No , , yesterday , I had drunk deeply after a long interval because of my colleagues ' invitation .",0
What am I going to do from now on ?,0
Did you try out this new computer ?,0
My husband is grandfather died of old age last week .,0
I have to write this done because I do not want to let it just pales away from my brain .,1
I reflected on my saying .,0
Do you have any questions about me ?,0
"Or , Linux ?",0
"If I have a chance , I d like to try YOSAKOI .",0
"In fact , I do not like tuna so much .",1
It was like a jewelry .,0
I guess .,0
need to see double doctors,0
The thing I want to say is I think I should stop hiding my feelings .,0
I am looking forward to visiting .,0
"After school , I worked on the school festival .",1
But I do not like those topics to talk about .,0
Spring reminds me of many things .,0
Tepco was one of the blue - chip companies in Japan .,0
But I want to make my blog very interesting even if my mother tongue is not English .,0
I have a brother and mother .,0
And I felt quite shocked because for is such a basic word .,0
The riches of the royal family are now for the people !,0
I did not care about what kind of houses I lived in .,0
Moreover cause of a thing that you do nt want to change it !,1
" Speaking of the good part , peer pressure can make some students more active and energetic .",0
winter season from the early of September to,1
I want to study English .,0
I was studying the exam of the DateBase when Japanese season became to Plaum rain .,0
"It is rain , too .",0
I am tired .,0
"If you are interested in Japan or me , please contact me !",0
Do you like new things ?,0
Some Taiwanese told us they wanted to come to Japan to see Japanese people enjoying it .,1
Please teach me about Easter Sunday in America .,1
"Suddenly , I thought about why the day has hours .",0
can I use them ?,0
The electricity may not be enough in Japan this summer because of the earthquake in March .,1
I plan how much money to spend each month .,0
"I heard it is not a rare case for business people in Japan , but I think it is crazy .",0
When I have such a feeling .,0
"You are allowed to reach something within your scope , and you had better act like that .",0
"In particular , I like white bread made from a baguette .",1
Hello I need your help .,0
The person answered him I will come at once .,0
I have been reading the book ' Social Atom ',0
Now I am in grade at Ladprakhowphithayakom school . I am studying hard because I have to compete in Admission recently .,1
It was crowded with many workers .,1
Now the middil exams are coming .,0
" What your background and personal experiences are , and",0
